,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
77,2012,NBA,2,34,CLE,Jae Crowder\crowdja01,21.363,F,us,Marquette University,2013,2018,463,23.7,9.0,3.8,1.4,1.0,0.3,.429,.511,.341,.791,24.3,.106
78,2009,NBA,2,41,MIL,Jodie Meeks\meeksjo01,21.314,G,us,University of Kentucky,2010,2018,531,22.6,9.3,2.1,1.1,0.8,0.1,.418,.469,.372,.879,24.0,.096
79,2009,NBA,2,55,POR,Patrick Mills\millspa02,20.323,G,au,Saint Mary's College of California,2010,2018,523,18.3,8.2,1.6,2.3,0.6,0.1,.432,.477,.390,.848,24.0,.120
80,1996,NBA,2,54,UTA,Shandon Anderson\andersh01,22.183,F-G,us,University of Georgia,1997,2006,719,22.2,7.4,3.1,1.4,0.8,0.3,.457,.498,.316,.739,23.6,.071
81,1994,NBA,2,35,SAC,Michael Smith\smithmi02,22.098,F,us,Providence College,1995,2001,449,23.5,5.6,7.1,1.5,0.8,0.6,.538,.539,.143,.529,23.4,.107
82,1997,NBA,2,39,SAC,Anthony Johnson\johnsan02,22.272,G,us,College of Charleston,1998,2010,793,19.6,5.6,1.7,2.9,0.7,0.1,.414,.431,.356,.745,23.2,.072
83,1996,NBA,2,30,HOU,Othella Harrington\harriot01,22.152,F-C,us,Georgetown University,1997,2008,709,19.6,7.4,4.4,0.6,0.3,0.4,.505,.507,.000,.738,23.1,.080
84,1996,NBA,2,37,DEN,Jeff McInnis\mcinnje01,21.253,G,us,University of North Carolina,1997,2008,576,27.7,9.4,2.0,4.4,0.6,0.1,.431,.454,.328,.796,23.1,.070
85,2009,NBA,2,33,POR,Dante Cunningham\cunnida01,22.070,F,us,Villanova University,2010,2018,651,21.4,6.1,3.8,0.7,0.7,0.5,.469,.494,.332,.645,23.0,.079
86,2009,NBA,2,39,DET,Jonas Jerebko\jerebjo01,22.121,F,se,,2010,2018,562,18.0,6.2,4.0,0.8,0.5,0.2,.457,.502,.363,.766,22.4,.107
87,1987,NBA,2,39,PHI,Vincent Askew\askewvi01,21.119,G-F,us,University of Memphis,1988,1998,467,20.0,7.1,2.5,2.2,0.7,0.2,.479,.499,.300,.754,22.1,.113
88,1992,NBA,2,41,HOU,Popeye Jones\jonespo01,22.013,F,us,Murray State University,1994,2004,535,23.5,7.0,7.4,1.3,0.6,0.3,.447,.451,.281,.751,22.0,.084
89,1997,NBA,2,47,POR,Alvin Williams\willial02,22.329,G,us,Villanova University,1998,2007,460,27.4,9.0,2.5,4.1,1.2,0.2,.421,.443,.313,.760,21.7,.082
90,1993,NBA,2,47,SAS,Chris Whitney\whitnch01,21.274,G,us,Clemson University,1994,2004,579,17.4,6.5,1.4,2.8,0.6,0.1,.395,.427,.361,.875,21.2,.101
