,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
119,1999,NBA,1,3,CHH,Baron Davis\davisba01,20.083,G,us,University of California Los Angeles,2000,2012,835,34.2,16.1,3.8,7.2,1.8,0.4,.409,.456,.320,.711,63.1,.106
120,2002,NBA,1,23,DET,Tayshaun Prince\princta01,22.124,F,us,University of Kentucky,2003,2016,1017,31.0,11.1,4.3,2.4,0.6,0.5,.455,.470,.367,.756,63.1,.096
121,1990,NBA,1,27,LAL,Elden Campbell\campbel01,21.344,C,us,Clemson University,1991,2005,1044,24.7,10.3,5.9,1.1,0.7,1.5,.460,.461,.054,.699,62.8,.117
122,1999,NBA,1,7,WAS,Richard Hamilton\hamilri01,21.141,G-F,us,University of Connecticut,2000,2013,921,32.1,17.1,3.1,3.4,0.8,0.1,.449,.463,.346,.852,62.8,.102
123,1991,NBA,1,2,NJN,Kenny Anderson\anderke01,20.265,G,us,Georgia Institute of Technology,1992,2005,858,30.1,12.6,3.1,6.1,1.5,0.1,.421,.436,.346,.790,62.5,.116
124,2012,NBA,1,1,NOH,Anthony Davis\davisan02,19.114,F-C,us,University of Kentucky,2013,2018,410,34.8,23.4,10.3,1.9,1.3,2.4,.517,.531,.309,.795,62.5,.210
125,1996,NBA,1,24,LAL,Derek Fisher\fishede01,21.327,G,us,University of Arkansas at Little Rock,1997,2014,1287,25.4,8.3,2.1,3.0,1.1,0.1,.399,.413,.374,.817,62.3,.091
126,1999,NBA,1,13,SEA,Corey Maggette\maggeco01,19.235,F,us,Duke University,2000,2013,827,28.2,16.0,4.9,2.1,0.7,0.2,.453,.478,.324,.822,62.2,.128
127,1993,NBA,1,3,GSW,Anfernee Hardaway\hardaan01,21.353,G-F,us,University of Memphis,1994,2008,704,33.7,15.2,4.5,5.0,1.6,0.4,.458,.489,.316,.774,61.9,.125
128,1987,NBA,1,9,SEA,Derrick McKey\mckeyde01,20.260,F-C,us,University of Alabama,1988,2002,937,29.1,11.0,4.7,2.4,1.1,0.7,.486,.500,.316,.779,61.8,.109
